Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic F Acc,25/03/2020,GB00BJQWRN41,BJQWRN4,69.93
T. Bailey Dynamic F Acc,26/03/2020,GB00BJQWRN41,BJQWRN4,68.91
T. Bailey Dynamic F Acc,27/03/2020,GB00BJQWRN41,BJQWRN4,71.26
T. Bailey Dynamic F Acc,30/03/2020,GB00BJQWRN41,BJQWRN4,71.07
T. Bailey Dynamic F Acc,31/03/2020,GB00BJQWRN41,BJQWRN4,71.08
T. Bailey Dynamic F Acc,01/04/2020,GB00BJQWRN41,BJQWRN4,71.42
T. Bailey Dynamic F Acc,02/04/2020,GB00BJQWRN41,BJQWRN4,71.05
T. Bailey Dynamic F Acc,03/04/2020,GB00BJQWRN41,BJQWRN4,70.79
T. Bailey Dynamic F Acc,06/04/2020,GB00BJQWRN41,BJQWRN4,71.11
T. Bailey Dynamic F Acc,07/04/2020,GB00BJQWRN41,BJQWRN4,72.13
T. Bailey Dynamic F Acc,08/04/2020,GB00BJQWRN41,BJQWRN4,72.91
T. Bailey Dynamic F Acc,09/04/2020,GB00BJQWRN41,BJQWRN4,73.31
T. Bailey Dynamic F Acc,14/04/2020,GB00BJQWRN41,BJQWRN4,74.13
T. Bailey Dynamic F Acc,15/04/2020,GB00BJQWRN41,BJQWRN4,74.4
T. Bailey Dynamic F Acc,16/04/2020,GB00BJQWRN41,BJQWRN4,74.42
T. Bailey Dynamic F Acc,17/04/2020,GB00BJQWRN41,BJQWRN4,74.38
T. Bailey Dynamic F Acc,20/04/2020,GB00BJQWRN41,BJQWRN4,74.8
T. Bailey Dynamic F Acc,21/04/2020,GB00BJQWRN41,BJQWRN4,74.73
T. Bailey Dynamic F Acc,22/04/2020,GB00BJQWRN41,BJQWRN4,74.65
T. Bailey Dynamic F Acc,23/04/2020,GB00BJQWRN41,BJQWRN4,74.91
T. Bailey Dynamic F Acc,24/04/2020,GB00BJQWRN41,BJQWRN4,75.12
T. Bailey Dynamic F Acc,27/04/2020,GB00BJQWRN41,BJQWRN4,75.34
T. Bailey Dynamic F Acc,28/04/2020,GB00BJQWRN41,BJQWRN4,75.64
T. Bailey Dynamic F Acc,29/04/2020,GB00BJQWRN41,BJQWRN4,75.94
T. Bailey Dynamic F Acc,30/04/2020,GB00BJQWRN41,BJQWRN4,76.13
T. Bailey Dynamic F Acc,01/05/2020,GB00BJQWRN41,BJQWRN4,75.82
T. Bailey Dynamic F Acc,04/05/2020,GB00BJQWRN41,BJQWRN4,75.46
T. Bailey Dynamic F Acc,05/05/2020,GB00BJQWRN41,BJQWRN4,75.47
T. Bailey Dynamic F Acc,06/05/2020,GB00BJQWRN41,BJQWRN4,75.53
T. Bailey Dynamic F Acc,07/05/2020,GB00BJQWRN41,BJQWRN4,75.68
T. Bailey Dynamic F Acc,11/05/2020,GB00BJQWRN41,BJQWRN4,76.17
T. Bailey Dynamic F Acc,12/05/2020,GB00BJQWRN41,BJQWRN4,76.59
T. Bailey Dynamic F Acc,13/05/2020,GB00BJQWRN41,BJQWRN4,76.6
T. Bailey Dynamic F Acc,14/05/2020,GB00BJQWRN41,BJQWRN4,76.26
T. Bailey Dynamic F Acc,15/05/2020,GB00BJQWRN41,BJQWRN4,76.09
T. Bailey Dynamic F Acc,18/05/2020,GB00BJQWRN41,BJQWRN4,76.55
T. Bailey Dynamic F Acc,19/05/2020,GB00BJQWRN41,BJQWRN4,77.07
T. Bailey Dynamic F Acc,20/05/2020,GB00BJQWRN41,BJQWRN4,77.67
T. Bailey Dynamic F Acc,21/05/2020,GB00BJQWRN41,BJQWRN4,77.91
T. Bailey Dynamic F Acc,22/05/2020,GB00BJQWRN41,BJQWRN4,78.02
T. Bailey Dynamic F Acc,26/05/2020,GB00BJQWRN41,BJQWRN4,78.32
T. Bailey Dynamic F Acc,27/05/2020,GB00BJQWRN41,BJQWRN4,78.55
T. Bailey Dynamic F Acc,28/05/2020,GB00BJQWRN41,BJQWRN4,78.72
T. Bailey Dynamic F Acc,29/05/2020,GB00BJQWRN41,BJQWRN4,79.06
T. Bailey Dynamic F Acc,01/06/2020,GB00BJQWRN41,BJQWRN4,79.26
T. Bailey Dynamic F Acc,02/06/2020,GB00BJQWRN41,BJQWRN4,79.59
T. Bailey Dynamic F Acc,03/06/2020,GB00BJQWRN41,BJQWRN4,79.79
T. Bailey Dynamic F Acc,04/06/2020,GB00BJQWRN41,BJQWRN4,79.98
T. Bailey Dynamic F Acc,05/06/2020,GB00BJQWRN41,BJQWRN4,80.1
T. Bailey Dynamic F Acc,08/06/2020,GB00BJQWRN41,BJQWRN4,80.2
T. Bailey Dynamic F Acc,09/06/2020,GB00BJQWRN41,BJQWRN4,80.23
T. Bailey Dynamic F Acc,10/06/2020,GB00BJQWRN41,BJQWRN4,80.38
T. Bailey Dynamic F Acc,11/06/2020,GB00BJQWRN41,BJQWRN4,80.31
T. Bailey Dynamic F Acc,12/06/2020,GB00BJQWRN41,BJQWRN4,79.81
T. Bailey Dynamic F Acc,15/06/2020,GB00BJQWRN41,BJQWRN4,79.18
T. Bailey Dynamic F Acc,16/06/2020,GB00BJQWRN41,BJQWRN4,79.7
T. Bailey Dynamic F Acc,17/06/2020,GB00BJQWRN41,BJQWRN4,80.04
T. Bailey Dynamic F Acc,18/06/2020,GB00BJQWRN41,BJQWRN4,80.37
T. Bailey Dynamic F Acc,19/06/2020,GB00BJQWRN41,BJQWRN4,80.65
T. Bailey Dynamic F Acc,22/06/2020,GB00BJQWRN41,BJQWRN4,80.87
