Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic A Acc,05/02/2019,GB00B1LB2Z79B1LB2Z7,,79.68
T. Bailey Dynamic A Acc,06/02/2019,GB00B1LB2Z79B1LB2Z7,,79.9
T. Bailey Dynamic A Acc,07/02/2019,GB00B1LB2Z79B1LB2Z7,,80.02
T. Bailey Dynamic A Acc,08/02/2019,GB00B1LB2Z79B1LB2Z7,,79.92
T. Bailey Dynamic A Acc,11/02/2019,GB00B1LB2Z79B1LB2Z7,,79.58
T. Bailey Dynamic A Acc,12/02/2019,GB00B1LB2Z79B1LB2Z7,,79.73
T. Bailey Dynamic A Acc,13/02/2019,GB00B1LB2Z79B1LB2Z7,,79.96
T. Bailey Dynamic A Acc,14/02/2019,GB00B1LB2Z79B1LB2Z7,,80.05
T. Bailey Dynamic A Acc,15/02/2019,GB00B1LB2Z79B1LB2Z7,,80.17
T. Bailey Dynamic A Acc,18/02/2019,GB00B1LB2Z79B1LB2Z7,,80.28
T. Bailey Dynamic A Acc,19/02/2019,GB00B1LB2Z79B1LB2Z7,,80.35
T. Bailey Dynamic A Acc,20/02/2019,GB00B1LB2Z79B1LB2Z7,,80.33
T. Bailey Dynamic A Acc,21/02/2019,GB00B1LB2Z79B1LB2Z7,,80.33
T. Bailey Dynamic A Acc,22/02/2019,GB00B1LB2Z79B1LB2Z7,,80.38
T. Bailey Dynamic A Acc,25/02/2019,GB00B1LB2Z79B1LB2Z7,,80.58
T. Bailey Dynamic A Acc,26/02/2019,GB00B1LB2Z79B1LB2Z7,,80.64
T. Bailey Dynamic A Acc,27/02/2019,GB00B1LB2Z79B1LB2Z7,,80.5
T. Bailey Dynamic A Acc,28/02/2019,GB00B1LB2Z79B1LB2Z7,,80.22
T. Bailey Dynamic A Acc,01/03/2019,GB00B1LB2Z79B1LB2Z7,,80.08
T. Bailey Dynamic A Acc,04/03/2019,GB00B1LB2Z79B1LB2Z7,,80.11
T. Bailey Dynamic A Acc,05/03/2019,GB00B1LB2Z79B1LB2Z7,,80.31
T. Bailey Dynamic A Acc,06/03/2019,GB00B1LB2Z79B1LB2Z7,,80.25
T. Bailey Dynamic A Acc,07/03/2019,GB00B1LB2Z79B1LB2Z7,,80.28
T. Bailey Dynamic A Acc,08/03/2019,GB00B1LB2Z79B1LB2Z7,,80.08
T. Bailey Dynamic A Acc,11/03/2019,GB00B1LB2Z79B1LB2Z7,,79.92
T. Bailey Dynamic A Acc,12/03/2019,GB00B1LB2Z79B1LB2Z7,,80.24
T. Bailey Dynamic A Acc,13/03/2019,GB00B1LB2Z79B1LB2Z7,,80.51
T. Bailey Dynamic A Acc,14/03/2019,GB00B1LB2Z79B1LB2Z7,,80.49
T. Bailey Dynamic A Acc,15/03/2019,GB00B1LB2Z79B1LB2Z7,,80.4
T. Bailey Dynamic A Acc,18/03/2019,GB00B1LB2Z79B1LB2Z7,,80.57
T. Bailey Dynamic A Acc,19/03/2019,GB00B1LB2Z79B1LB2Z7,,80.84
T. Bailey Dynamic A Acc,20/03/2019,GB00B1LB2Z79B1LB2Z7,,80.89
T. Bailey Dynamic A Acc,21/03/2019,GB00B1LB2Z79B1LB2Z7,,80.95
T. Bailey Dynamic A Acc,22/03/2019,GB00B1LB2Z79B1LB2Z7,,81.08
