Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Growth A Acc,12/03/2019,GB0009346486,934648,161.09
T. Bailey Growth A Acc,13/03/2019,GB0009346486,934648,161.74
T. Bailey Growth A Acc,14/03/2019,GB0009346486,934648,161.76
T. Bailey Growth A Acc,15/03/2019,GB0009346486,934648,161.3
T. Bailey Growth A Acc,18/03/2019,GB0009346486,934648,161.71
T. Bailey Growth A Acc,19/03/2019,GB0009346486,934648,162.44
T. Bailey Growth A Acc,20/03/2019,GB0009346486,934648,162.88
T. Bailey Growth A Acc,21/03/2019,GB0009346486,934648,163.13
T. Bailey Growth A Acc,22/03/2019,GB0009346486,934648,163.57
T. Bailey Growth A Acc,25/03/2019,GB0009346486,934648,163.87
T. Bailey Growth A Acc,26/03/2019,GB0009346486,934648,160.84
T. Bailey Growth A Acc,27/03/2019,GB0009346486,934648,161.65
T. Bailey Growth A Acc,28/03/2019,GB0009346486,934648,162.24
T. Bailey Growth A Acc,29/03/2019,GB0009346486,934648,162.4
T. Bailey Growth A Acc,01/04/2019,GB0009346486,934648,163.51
T. Bailey Growth A Acc,02/04/2019,GB0009346486,934648,164.56
T. Bailey Growth A Acc,03/04/2019,GB0009346486,934648,164.75
T. Bailey Growth A Acc,04/04/2019,GB0009346486,934648,165.18
T. Bailey Growth A Acc,05/04/2019,GB0009346486,934648,165.53
T. Bailey Growth A Acc,08/04/2019,GB0009346486,934648,166.03
T. Bailey Growth A Acc,09/04/2019,GB0009346486,934648,166.44
T. Bailey Growth A Acc,10/04/2019,GB0009346486,934648,166.23
T. Bailey Growth A Acc,11/04/2019,GB0009346486,934648,166.17
T. Bailey Growth A Acc,12/04/2019,GB0009346486,934648,166.37
T. Bailey Growth A Acc,15/04/2019,GB0009346486,934648,166.45
T. Bailey Growth A Acc,16/04/2019,GB0009346486,934648,166.99
T. Bailey Growth A Acc,17/04/2019,GB0009346486,934648,167.02
T. Bailey Growth A Acc,18/04/2019,GB0009346486,934648,167.36
T. Bailey Growth A Acc,23/04/2019,GB0009346486,934648,166.55
T. Bailey Growth A Acc,24/04/2019,GB0009346486,934648,167.02
T. Bailey Growth A Acc,25/04/2019,GB0009346486,934648,168.44
T. Bailey Growth A Acc,26/04/2019,GB0009346486,934648,168.23
T. Bailey Growth A Acc,29/04/2019,GB0009346486,934648,168.18
T. Bailey Growth A Acc,30/04/2019,GB0009346486,934648,168.58
T. Bailey Growth A Acc,01/05/2019,GB0009346486,934648,168.53
T. Bailey Growth A Acc,02/05/2019,GB0009346486,934648,167.87
T. Bailey Growth A Acc,03/05/2019,GB0009346486,934648,167.17
T. Bailey Growth A Acc,07/05/2019,GB0009346486,934648,167.06
T. Bailey Growth A Acc,08/05/2019,GB0009346486,934648,166.23
T. Bailey Growth A Acc,09/05/2019,GB0009346486,934648,165.13
T. Bailey Growth A Acc,10/05/2019,GB0009346486,934648,164.6
T. Bailey Growth A Acc,13/05/2019,GB0009346486,934648,164.4
T. Bailey Growth A Acc,14/05/2019,GB0009346486,934648,163.62
T. Bailey Growth A Acc,15/05/2019,GB0009346486,934648,163.01
T. Bailey Growth A Acc,16/05/2019,GB0009346486,934648,164.31
T. Bailey Growth A Acc,17/05/2019,GB0009346486,934648,165.33
T. Bailey Growth A Acc,20/05/2019,GB0009346486,934648,166.19
T. Bailey Growth A Acc,21/05/2019,GB0009346486,934648,165.86
T. Bailey Growth A Acc,22/05/2019,GB0009346486,934648,165.96
T. Bailey Growth A Acc,23/05/2019,GB0009346486,934648,166.64
T. Bailey Growth A Acc,24/05/2019,GB0009346486,934648,166.12
T. Bailey Growth A Acc,28/05/2019,GB0009346486,934648,165.91
T. Bailey Growth A Acc,29/05/2019,GB0009346486,934648,166.64
T. Bailey Growth A Acc,30/05/2019,GB0009346486,934648,165.94
T. Bailey Growth A Acc,31/05/2019,GB0009346486,934648,165.46
T. Bailey Growth A Acc,03/06/2019,GB0009346486,934648,165.71
T. Bailey Growth A Acc,04/06/2019,GB0009346486,934648,165.36
T. Bailey Growth A Acc,05/06/2019,GB0009346486,934648,164.94
T. Bailey Growth A Acc,06/06/2019,GB0009346486,934648,166.04
T. Bailey Growth A Acc,07/06/2019,GB0009346486,934648,166.19
T. Bailey Growth A Acc,10/06/2019,GB0009346486,934648,166.46
T. Bailey Growth A Acc,11/06/2019,GB0009346486,934648,167.62
T. Bailey Growth A Acc,12/06/2019,GB0009346486,934648,168.67
T. Bailey Growth A Acc,13/06/2019,GB0009346486,934648,168.17
T. Bailey Growth A Acc,14/06/2019,GB0009346486,934648,168.31
T. Bailey Growth A Acc,17/06/2019,GB0009346486,934648,168.54
T. Bailey Growth A Acc,18/06/2019,GB0009346486,934648,168.31
T. Bailey Growth A Acc,19/06/2019,GB0009346486,934648,169.27
T. Bailey Growth A Acc,20/06/2019,GB0009346486,934648,169.99
T. Bailey Growth A Acc,21/06/2019,GB0009346486,934648,170.82
T. Bailey Growth A Acc,24/06/2019,GB0009346486,934648,170.72
T. Bailey Growth A Acc,25/06/2019,GB0009346486,934648,170.33
T. Bailey Growth A Acc,26/06/2019,GB0009346486,934648,170
T. Bailey Growth A Acc,27/06/2019,GB0009346486,934648,169.53
T. Bailey Growth A Acc,28/06/2019,GB0009346486,934648,169.49
T. Bailey Growth A Acc,01/07/2019,GB0009346486,934648,170.37
T. Bailey Growth A Acc,02/07/2019,GB0009346486,934648,171.94
T. Bailey Growth A Acc,03/07/2019,GB0009346486,934648,172.98
T. Bailey Growth A Acc,04/07/2019,GB0009346486,934648,173.82
T. Bailey Growth A Acc,05/07/2019,GB0009346486,934648,174.36
T. Bailey Growth A Acc,08/07/2019,GB0009346486,934648,174.23
